client_id,service_type,contract_value,tenure_months,satisfaction_score,avg_monthly_tickets,churn,late_payment_rate
CL0030,Security,26339.63974958587,20,3.908676279065232,2,0,0.1111111111111111
CL0031,24/7 Support,43791.9192945191,34,3.970826084799924,1,0,0.16666666666666666
CL0032,24/7 Support,43004.72293407817,34,2.7019733377923014,7,0,0.16666666666666666
CL0033,Infrastructure,19359.521295946503,16,2.383739970187852,5,0,0.08333333333333333
CL0034,Infrastructure,42301.19633678048,57,2.484155051938411,4,0,0.08333333333333333
CL0035,Cloud Migration,6665.343562197168,37,4.950598254944231,4,0,0.2222222222222222
CL0036,24/7 Support,31832.144531692385,7,1.16043676564993,3,0,0.1388888888888889
CL0037,Cloud Migration,15350.397677946636,52,4.468125984489794,8,0,0.08333333333333333
CL0038,Infrastructure,10425.509859977548,19,2.320291144002701,10,1,0.08333333333333333
CL0039,Cloud Migration,8462.894073314412,25,2.754461676758362,1,0,0.16666666666666666
CL0040,Infrastructure,36332.99491451629,27,3.901030641660546,2,0,0.16666666666666666
CL0041,24/7 Support,20294.373369562974,16,2.9466757656988114,4,0,0.16666666666666666
CL0042,Security,37614.50471879427,32,4.493692952326642,6,0,0.16666666666666666
CL0043,24/7 Support,7941.035335952407,8,3.221965219231524,6,1,0.08333333333333333
CL0044,Cloud Migration,19188.065202377467,22,2.6868837074938217,6,0,0.08333333333333333
CL0045,Cloud Migration,29277.10815689017,49,2.1073111889402063,8,0,0.1388888888888889
CL0046,24/7 Support,40582.54241775336,33,3.369401314373449,7,0,0.1111111111111111
CL0047,24/7 Support,19343.862631943142,34,4.649453382466763,5,0,0.25
CL0048,Infrastructure,33165.11193966541,26,1.8426487560226663,2,0,0.16666666666666666
CL0049,Cloud Migration,44868.99867062842,52,2.444306433977752,1,1,0.027777777777777776
CL0050,Cloud Migration,32713.843468203704,21,3.526240880370082,7,0,0.05555555555555555
CL0051,24/7 Support,15483.17636391352,42,3.932452089661124,4,0,0.1388888888888889
CL0052,Security,6098.035170044211,25,1.5262707405090392,1,0,0.08333333333333333
CL0053,Cloud Migration,44154.44932554184,11,3.863299858728354,6,0,0.05555555555555555
CL0054,Security,5957.123488267422,24,4.636130082662564,5,0,0.05555555555555555
CL0055,24/7 Support,44361.57527078897,10,1.2031127048366774,12,1,0.08333333333333333
CL0056,24/7 Support,28802.171031224538,8,1.9501732996955103,5,0,0.08333333333333333
CL0057,Infrastructure,47258.04643308033,6,4.885580376166558,4,0,0.2222222222222222
CL0058,Cloud Migration,40945.24560981494,43,1.723907810837959,10,0,0.16666666666666666
CL0059,Security,49907.03497400018,20,4.4175403734783165,7,0,0.08333333333333333
CL0060,Infrastructure,20782.03169532696,39,2.0783779980544974,6,1,0.1388888888888889
CL0061,Cloud Migration,39523.47300190071,40,1.988924297612708,8,0,0.16666666666666666
CL0062,Infrastructure,23086.8911124159,54,4.482999605090045,5,0,0.027777777777777776
CL0063,24/7 Support,26594.402913675895,30,2.781221020010662,5,0,0.027777777777777776
CL0064,Cloud Migration,33237.745844826655,29,3.0592694157187608,5,0,0.1388888888888889
CL0065,Infrastructure,44315.47013838525,17,2.4369334775990628,2,0,0.05555555555555555
CL0066,Infrastructure,49283.75611396828,23,3.3718034057397097,3,0,0.16666666666666666
CL0067,Security,39572.30362390332,20,1.654095490340091,4,0,0.25
CL0068,Infrastructure,23799.50519753002,49,1.79502830262493,13,1,0.1111111111111111
CL0069,Cloud Migration,23961.06510246816,21,4.87764928934115,0,0,0.1111111111111111
CL0070,Cloud Migration,38191.20357150012,32,2.03253373080451,5,0,0.08333333333333333
CL0071,Security,15744.971559573603,13,3.626946658165169,5,0,0.1111111111111111
CL0072,Cloud Migration,9971.335090912758,51,2.3007602568987795,5,0,0.1388888888888889
CL0073,24/7 Support,20957.997093834943,30,4.093892502746403,5,0,0.1388888888888889
CL0074,Cloud Migration,17925.754624433677,22,1.5234946428733993,4,0,0.08333333333333333
CL0075,Cloud Migration,18333.86542051956,34,4.879284180314179,9,0,0.05555555555555555
CL0076,Infrastructure,15512.348797245948,58,2.815158165534557,6,0,0.1388888888888889
CL0077,Infrastructure,6894.193533636285,13,1.360941297370099,3,1,0.1111111111111111
CL0078,Cloud Migration,5804.327063003621,20,1.0,9,1,0.05555555555555555
CL0079,Security,49447.50753812142,32,1.679031620350163,6,0,0.2222222222222222
CL0080,Infrastructure,24249.791018113807,51,3.07909579422407,6,0,0.1388888888888889
CL0081,Security,22294.69912218568,55,2.348012705725145,5,0,0.1111111111111111
CL0082,Cloud Migration,35584.12772118814,57,4.315533463530437,2,0,0.16666666666666666
CL0083,Cloud Migration,14821.424953927888,12,2.723550094647224,5,0,0.08333333333333333
CL0084,24/7 Support,47748.25327776014,8,1.99485709035052,3,0,0.1111111111111111
CL0085,Infrastructure,40385.52564869984,34,3.46857994641612,3,0,0.05555555555555555
CL0086,Cloud Migration,9023.49510405168,49,3.8271088675417833,3,0,0.1388888888888889
CL0087,24/7 Support,23791.134910321776,58,1.6681676316037994,6,0,0.1111111111111111
CL0088,Infrastructure,44560.32384029741,29,1.6704768651532709,6,0,0.1388888888888889
CL0089,Cloud Migration,47512.94100311346,8,1.146685707734172,4,0,0.027777777777777776
CL0090,Cloud Migration,26033.06800624414,25,3.945608060262562,5,0,0.1111111111111111
CL0091,Infrastructure,32603.512514481845,51,3.65521811048722,5,0,0.1388888888888889
CL0092,Infrastructure,12516.527574143383,20,2.8985235029992555,7,0,0.1388888888888889
CL0093,Infrastructure,49602.58817616395,30,4.376681795876788,5,0,0.1388888888888889
CL0094,Cloud Migration,15425.226562254951,35,4.222680611800213,3,0,0.08333333333333333
CL0095,Cloud Migration,47422.92983608066,19,3.3414174575870086,4,0,0.1388888888888889
CL0096,24/7 Support,34234.09920465658,12,3.131159585437124,10,1,0.19444444444444445
CL0097,Security,32348.15576954866,22,1.823364840147073,5,0,0.1388888888888889
CL0098,Infrastructure,28070.982995742885,49,1.4476784775909115,7,0,0.1111111111111111
CL0099,Cloud Migration,15380.141527299142,25,2.0789984460679585,8,0,0.1111111111111111
CL0100,Cloud Migration,12943.761440247872,41,1.2283474243572594,7,0,0.05555555555555555
CL0101,Infrastructure,14921.87940815789,14,3.124678112004128,5,0,0.1111111111111111
CL0102,Security,13389.721796491453,43,3.322495938425892,12,1,0.1388888888888889
CL0103,Infrastructure,40081.3013105039,53,1.1573741626740386,4,0,0.1111111111111111
CL0104,Security,20755.636662502853,27,1.4884396560401072,6,0,0.1388888888888889
CL0105,Cloud Migration,7602.920445352836,59,2.808796113133741,8,0,0.1388888888888889
CL0106,Security,48609.61835633651,58,4.73550007011162,6,0,0.1388888888888889
CL0107,24/7 Support,44770.36482335415,58,2.264624419907002,3,0,0.19444444444444445
CL0108,Cloud Migration,46748.85274378458,7,3.0289392347535697,8,0,0.1388888888888889
CL0109,24/7 Support,49770.85201908959,29,1.1662914362015684,4,0,0.1388888888888889
CL0110,Infrastructure,12825.286214876927,13,1.5933728038483554,7,0,0.05555555555555555
CL0111,Infrastructure,22830.89085061964,16,4.946520491835388,2,0,0.08333333333333333
CL0112,Infrastructure,39120.731406684106,18,4.860474785744183,10,0,0.16666666666666666
CL0113,Security,36320.92781242065,22,1.0197599237376385,6,0,0.1388888888888889
CL0114,Cloud Migration,11925.315785293478,13,3.3650729991850694,6,1,0.1111111111111111
CL0115,Infrastructure,41712.4906245778,26,2.489535825883401,7,1,0.1111111111111111
CL0116,Infrastructure,15099.82573264973,23,3.1301712246560616,9,1,0.1388888888888889
CL0117,Cloud Migration,15071.79266701804,35,2.8189594225354364,4,0,0.08333333333333333
CL0118,Infrastructure,29163.84903020361,23,2.1436688800219006,7,1,0.16666666666666666
CL0119,24/7 Support,31682.297067876643,51,2.0687704247193763,9,1,0.08333333333333333
CL0120,Cloud Migration,31103.879352701504,52,3.667457030184418,3,0,0.1388888888888889
CL0121,Cloud Migration,9116.90768289897,36,1.5586050190252516,7,0,0.05555555555555555
CL0122,Cloud Migration,44485.73881836712,43,1.0,10,1,0.16666666666666666
CL0123,24/7 Support,16952.001916491772,37,2.231719766364764,8,0,0.1388888888888889
CL0124,Cloud Migration,10828.171457726188,16,3.818723050946587,4,0,0.05555555555555555
CL0125,24/7 Support,44993.66359410397,50,1.2651896659442554,10,1,0.05555555555555555
CL0126,Cloud Migration,48004.3174203389,30,3.693729733299669,3,0,0.1111111111111111
CL0127,Security,43795.74277694528,38,4.879648184429081,4,0,0.19444444444444445
CL0128,Infrastructure,41428.22336261952,43,1.3756028631576735,4,0,0.16666666666666666
CL0129,Security,34485.88912875598,46,3.690408472900505,0,0,0.08333333333333333
CL0130,Infrastructure,29788.581677411268,13,1.9425006140527992,1,1,0.1388888888888889
CL0131,24/7 Support,8914.404196013456,16,4.472569017510022,1,0,0.1111111111111111
CL0132,Security,23380.394588181443,27,1.7085991577895436,7,0,0.1111111111111111
CL0133,Cloud Migration,21770.98326555413,56,2.6393526662332607,7,1,0.08333333333333333
CL0134,Infrastructure,16688.92026921468,29,4.35246115859244,5,0,0.16666666666666666
CL0135,Infrastructure,37553.90511598632,46,4.778456877896093,8,0,0.1111111111111111
CL0136,Security,27314.40807854469,22,3.7329921131585833,3,0,0.19444444444444445
CL0137,24/7 Support,8647.079715844156,17,2.988699056033709,5,0,0.05555555555555555
CL0138,Security,14908.24408774151,51,3.471388960804856,3,0,0.1111111111111111
CL0139,24/7 Support,35746.644364681815,37,4.475619937914873,5,0,0.19444444444444445
CL0140,24/7 Support,8425.888677063507,20,2.297707290588723,1,1,0.16666666666666666
CL0141,Infrastructure,43304.31113219459,21,1.1215482387873474,7,0,0.1111111111111111
CL0142,Security,27281.59371562885,59,4.723794782027911,2,0,0.25
CL0143,Security,26626.39597969916,27,3.758107004126245,4,0,0.1111111111111111
CL0144,24/7 Support,31658.35030967829,33,3.706053543108986,6,0,0.19444444444444445
CL0145,Security,42110.64346663172,25,1.8627006095908687,7,0,0.1388888888888889
CL0146,Cloud Migration,20651.41435559869,38,3.635541880930629,9,0,0.08333333333333333
CL0147,Cloud Migration,35510.72686515786,15,2.575457622616634,4,0,0.08333333333333333
CL0148,Security,30457.9383798106,45,3.604931908165968,1,0,0.1111111111111111
CL0149,Security,17016.27215762396,37,1.4263721212319629,4,0,0.1388888888888889
CL0150,24/7 Support,44538.34938598211,55,3.631381218412144,6,0,0.1111111111111111
CL0151,Cloud Migration,40884.17097231177,38,4.997654903082666,3,0,0.08333333333333333
CL0152,Cloud Migration,34630.33255962915,7,1.192848155442224,4,0,0.1111111111111111
CL0153,Infrastructure,43276.177809240886,38,4.908696736885269,2,0,0.16666666666666666
CL0154,24/7 Support,44028.239043191104,38,2.6276318428914824,6,0,0.08333333333333333
CL0155,Infrastructure,36876.33395217657,46,4.483013801349037,8,0,0.19444444444444445
CL0156,Cloud Migration,42665.59977636524,18,2.890679355363166,10,1,0.16666666666666666
CL0157,24/7 Support,36386.215775117766,35,3.268065043946671,2,0,0.1111111111111111
CL0158,Security,35606.334729213515,38,2.767657785903714,9,1,0.08333333333333333
CL0159,24/7 Support,32837.512019683294,18,4.514062245205391,9,0,0.1111111111111111
CL0160,Security,38872.248780093854,57,2.616561286604132,3,0,0.1111111111111111
CL0161,Security,12137.229738188316,31,2.308132646252955,8,0,0.1111111111111111
CL0162,24/7 Support,44639.18416395178,27,3.670373542254339,7,0,0.08333333333333333
CL0163,Security,44232.95874853544,44,4.231383767765035,6,0,0.08333333333333333
CL0164,Infrastructure,6316.127736555161,7,4.049140539106463,10,0,0.08333333333333333
CL0165,Cloud Migration,42161.75377541432,43,2.9338782168041764,7,1,0.1388888888888889
CL0166,Security,10799.144036305035,44,2.742333259251732,5,0,0.1111111111111111
CL0167,Infrastructure,20080.348441661383,31,4.2713368647000864,5,0,0.08333333333333333
CL0168,Security,38457.87153312235,51,1.0365853550377035,7,1,0.1388888888888889
CL0169,Cloud Migration,12234.19532217387,55,3.177956391843398,4,0,0.05555555555555555
CL0170,Infrastructure,41808.5160853578,20,1.0230346419924865,10,0,0.1111111111111111
CL0171,Cloud Migration,42446.03800809839,39,2.298343319601081,3,0,0.16666666666666666
CL0172,Cloud Migration,27836.04801923763,47,2.4658461394855915,2,0,0.2222222222222222
CL0173,Infrastructure,5287.364227257511,49,1.809283536505915,9,1,0.05555555555555555
CL0174,Infrastructure,17916.715992871075,54,3.7818688267594487,4,0,0.1388888888888889
CL0175,Infrastructure,32761.7113269084,45,1.787962683556968,6,1,0.08333333333333333
CL0176,24/7 Support,49153.37801123405,16,2.7947744904901226,8,0,0.19444444444444445
CL0177,Infrastructure,33431.60871575007,8,1.9501765234973096,5,0,0.08333333333333333
CL0178,Infrastructure,16691.161147887193,11,1.7451050165621522,6,1,0.05555555555555555
CL0179,Infrastructure,33530.25663948251,14,1.909078509052606,7,0,0.0
CL0180,Infrastructure,29299.342087213496,11,1.2927836950737746,4,0,0.1111111111111111
CL0181,Security,40093.042781801465,14,2.389656061467858,3,1,0.19444444444444445
CL0182,24/7 Support,9814.128747213128,44,3.672851194220065,2,0,0.08333333333333333
CL0183,Cloud Migration,39246.25561259126,36,3.477961384038458,3,0,0.1111111111111111
CL0184,Infrastructure,29356.99604042496,37,2.8539761752022894,3,0,0.05555555555555555
CL0185,Security,48334.64017365476,46,2.5191431207169197,8,0,0.08333333333333333
CL0186,Security,20384.247471740877,55,4.4533345982873005,6,0,0.16666666666666666
CL0187,Security,33467.98519102766,17,3.076327140544872,0,0,0.08333333333333333
CL0188,Cloud Migration,46941.26474795079,13,2.916727510518924,8,0,0.08333333333333333
CL0189,Infrastructure,9612.937759580567,13,1.0,7,1,0.16666666666666666
CL0190,24/7 Support,47175.2819256403,55,1.6554939173532377,6,1,0.16666666666666666
CL0191,24/7 Support,35954.8575035366,33,2.520782475143428,5,0,0.2222222222222222
CL0192,Security,8052.667659732735,25,2.595291123587602,7,0,0.08333333333333333
CL0193,Cloud Migration,18543.36051260673,52,3.320689476909329,6,0,0.1388888888888889
CL0194,Cloud Migration,36867.74398903767,12,2.19408713083526,4,1,0.1111111111111111
CL0195,Cloud Migration,8030.777066094726,16,3.4316203711737785,4,0,0.027777777777777776
CL0196,24/7 Support,31197.6707079323,25,4.059533046168513,2,0,0.1388888888888889
CL0197,Security,20564.73756288305,21,2.9763600684050617,6,1,0.08333333333333333
CL0198,Infrastructure,32941.19829953647,9,3.8724923049059776,1,0,0.05555555555555555
CL0199,24/7 Support,7058.391521563079,11,4.822094783819739,9,0,0.1388888888888889
CL0200,Security,44219.156276856935,27,1.0729303307054463,3,0,0.19444444444444445
